,Strain,Media,Type of DOE,Plate,Incubation Time (h),Well position,Condition,pH,Glucose (g/L),Ammonium Sulfate (g/L),Phosphate + Citrate (x),YNB (x),Amino Acid 1 (mM),Amino acid 2 (g/L),Amino acid 2 (g/L).1,Ethanol (g/L),Replicate,Agit_rpm,Amino_acid_Mix (x) ,Calculated OD600 to Nanodrop,Residual glucose (g/l)
0,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A1,1,4.5,35,3.0,0.2,1.25,3.5,0.5,0.0,5.0,1,300,1,6.373714242,21.03
1,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A2,1,4.5,35,3.0,0.2,1.25,3.5,0.5,0.0,5.0,2,300,1,6.045974136,
2,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A3,1,4.5,35,3.0,0.2,1.25,3.5,0.5,0.0,5.0,3,300,1,6.872585673,
3,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A4,1,4.5,35,3.0,0.2,1.25,3.5,0.5,0.0,5.0,4,300,1,7.214207119,
4,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A5,2,4.5,15,12.0,0.2,2.0,0.1,0.25,0.5,5.0,1,300,1,8.291436888,0.54
5,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A6,2,4.5,15,12.0,0.2,2.0,0.1,0.25,0.5,5.0,2,300,1,8.547586788,
6,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A7,2,4.5,15,12.0,0.2,2.0,0.1,0.25,0.5,5.0,3,300,1,8.970931387,
7,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A8,2,4.5,15,12.0,0.2,2.0,0.1,0.25,0.5,5.0,4,300,1,8.837927581,
8,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A9,3,4.5,15,3.0,1.0,2.0,0.1,0.5,0.0,2.5,1,300,1,7.830962186,0.31
9,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,A10,3,4.5,15,3.0,1.0,2.0,0.1,0.5,0.0,2.5,2,300,1,8.528363752,
