,Inoculum size (cell/ml),COD (g/L),Oil and grease (g/L),TKN,Olive oil (%),Glucose (g/L),Crude glycerol (%),Tween 20 (%),Tween 80 (%),Peptone (g/L),Ammonium sulfate (g/L),Yeast extract (g/L),Urea (g /L),Total nitrogen (g/L),Mono- sodium glutam ate (g/l),Di- potassium hydrogen phosphat e (g/l),Magnesium chloride (g/l),Iron(III) chloride (g/l),Potassium Di-hydrogen phosphate (g/l),Calcium chloride (g/l),Sodium chloride (g/l),Temp (C),Shakin g rate (rpm),pH,Time (h),Biomass (g/l),Reference year
0,100000000.0,21.25,0.1205,0.09125,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,0,0.0,2016
1,100000000.0,21.25,0.1205,0.09125,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,12,1.54,2016
2,100000000.0,21.25,0.1205,0.09125,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,24,2.33,2016
3,100000000.0,21.25,0.1205,0.09125,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,36,3.43,2016
4,100000000.0,21.25,0.1205,0.09125,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,48,3.8,2016
5,100000000.0,21.25,0.1205,0.09125,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,60,3.76,2016
6,100000000.0,21.25,0.1205,0.09125,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,72,3.76,2016
7,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,0,0.0,2016
8,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,12,1.46,2016
9,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,24,2.0,2016
10,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,36,3.21,2016
11,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,48,3.32,2016
12,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,60,4.0,2016
13,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,72,4.33,2016
14,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,0,0.0,2016
15,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,12,1.32,2016
16,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,24,3.0,2016
17,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,36,4.33,2016
18,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,48,4.44,2016
19,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,60,5.0,2016
20,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,72,5.68,2016
21,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,4.3,0,0.0,2016
22,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,4.3,12,0.72,2016
23,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,4.3,24,2.81,2016
24,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,4.3,36,5.08,2016
25,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,4.3,48,5.62,2016
26,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,4.3,60,6.0,2016
27,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,4.3,72,6.52,2016
28,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.0,0,0.0,2016
29,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.0,12,1.44,2016
30,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.0,24,4.36,2016
31,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.0,36,5.35,2016
32,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.0,48,6.09,2016
33,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.0,60,6.36,2016
34,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.0,72,7.22,2016
35,100000000.0,42.5,0.241,0.1825,0,0,0.0,0,0,0,4.761904762,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,30,140,5.5,0,0.0,2016
