,Ferm Number,Ferm Age,Side Product 1,Upstream Intermediate,Amino Acid 1,Amino Acid 2,Cell Mass,Side Product 2,Downstream Intermediate 1,Side Product 3,Downstream Intermediate 2,Target Product,Side Product 4,Fermenter,Strain,Run Description
0,AF06926,0,,,,,,,,,,,,B12,Strain A,Process A
1,AF06926,24,13.456203838620159,,0.0,306.1227408808715,124.61047528793117,0.0,3.973692272159186,1.3795461463379268,0.0,0.04468285493698417,20.305791591396826,B12,Strain A,Process A
2,AF06926,40,,,,,413.7015079109964,,417.4960114166033,,20.31852386121757,45.312415899606684,374.0961181493898,B12,Strain A,Process A
3,AF06926,45,217.17242094845886,27.49728788307553,0.0,776.1912467855799,521.6841966274148,0.0,598.0694996012347,98.00676052073388,96.71536792562311,100.01155244983119,508.9825379789901,B12,Strain A,Process A
4,AF06926,51,316.8162529102049,53.157796307003714,0.0,609.0791600064778,667.8725318297062,0.0,729.278551457096,166.71596590633465,226.24622584829356,196.96432111911173,441.52023327503787,B12,Strain A,Process A
5,AF06926,64,473.4767400232132,112.97927713526227,0.0,18.774360501432607,887.4716571637713,59.97877913231144,857.4930508953037,279.4199129906802,426.42777293833706,465.85060759436715,360.03667945326487,B12,Strain A,Process A
6,AF06926,69,,138.89763054864022,,,890.5709332857307,,898.2462630547151,,497.93442223198275,582.9279548867769,486.06957661069447,B12,Strain A,Process A
7,AF06926,75,327.93787610336955,160.5981741341434,0.0,43.221835273597506,902.3433496449194,42.63453188433389,894.1964484406247,362.313801814711,527.8975070106604,684.8539833646506,542.6118005360507,B12,Strain A,Process A
8,AF06926,88,,223.42670156957664,,,904.0038752969689,,898.7056645508693,,536.5781807979153,848.6367083833843,389.77937771500626,B12,Strain A,Process A
9,AF06926,93,683.0855241105205,240.08689926744842,234.0187394842766,518.927128389411,883.8000600587706,5.712782322971639,887.3021282652054,552.2981879011094,510.9180329313741,866.1499043155786,590.3145555540522,B12,Strain A,Process A
10,AF06939,0,,,,,,,,,,,,C01,Strain A,Process A
11,AF06939,18,,,,,,,,,,,,C01,Strain A,Process A
12,AF06939,24,44.702540001778615,,0.0,409.48140895132957,149.576223521181,0.0,34.854718120064014,17.581530056916954,0.0,3.016639183407342,93.21362464489148,C01,Strain A,Process A
13,AF06939,40,,4.8124671484865225,,,445.7265492775161,,452.92653357296865,,26.282953041429366,57.47605333481065,151.73736394144382,C01,Strain A,Process A
14,AF06939,45,307.7344980993882,40.491461687514736,0.0,701.2269734692093,549.6315551471872,0.0,601.542186126784,166.36399449648195,93.45785304128248,123.08258533424966,202.22499029984712,C01,Strain A,Process A
15,AF06939,51,401.6985563559332,85.68480231876332,0.0,345.202638942439,698.5364440400645,0.0,712.9065463349478,274.57126240277285,213.68571969991876,240.5804958922526,197.43182723820388,C01,Strain A,Process A
16,AF06939,64,462.4426567064119,143.5610658705032,0.0,53.4570298201019,852.5737939291929,186.62280809307893,768.2017201025471,352.2985077491176,358.4472221038885,501.63881620765625,210.48564486485475,C01,Strain A,Process A
17,AF06939,69,,170.05348227565813,,,857.6375110286682,,822.260491905243,,434.9536466450924,634.0797032253803,314.79531477159793,C01,Strain A,Process A
18,AF06939,75,711.9160492813703,187.81623030297408,0.0,101.13221278609969,852.5161067430873,124.0817488896026,826.2108290364657,545.7484470046501,479.6346083505081,739.4223234167029,377.63984914461884,C01,Strain A,Process A
19,AF06939,88,,225.38696546601577,,,870.9173576576694,,815.3010972896974,,477.12419702416014,866.0553329356899,431.5286742629739,C01,Strain A,Process A
20,AF06939,93,779.1685193926252,45.95135101168252,195.2401989823835,494.5562043819063,879.7957040352508,83.75578395714093,840.8697485924816,816.0664985332303,482.3563457309522,912.3047202798814,461.4093656558285,C01,Strain A,Process A
21,AF06940,0,,,,,,,,,,,,C02,Strain A,Process A
22,AF06940,18,,,,,,,,,,,,C02,Strain A,Process A
23,AF06940,24,42.78601186200669,,0.0,241.22685333453705,146.73655576091483,0.0,49.45757125428039,,0.0,6.55439074379796,108.04585891853225,C02,Strain A,Process A
24,AF06940,40,,13.917709187496113,,,428.56207958460095,,471.30197354449405,,50.908751977601135,62.8685568083473,130.39515084010526,C02,Strain A,Process A
25,AF06940,45,265.3404341193452,17.762020766209872,0.0,393.8043694883387,537.3466842847606,0.0,625.6791997467936,126.46311539423132,132.72889714123707,128.13841826187019,183.24837497888663,C02,Strain A,Process A
26,AF06940,51,355.27679155749837,25.345637166716312,0.0,88.13671301902417,655.6819474681255,0.0,715.0043632976191,204.1677368247942,239.98644140498186,229.19746911294874,184.07828470745258,C02,Strain A,Process A
27,AF06940,64,477.9336917930511,36.90369333835856,0.0,31.530422351281754,769.3583294047293,192.23976409941034,779.8201545297898,279.56181889032996,385.9087563845118,475.7203436917725,375.84101089341357,C02,Strain A,Process A
28,AF06940,69,,164.41969226264942,,,780.94438410436,,815.3710811370039,,444.0755109445625,580.7046358373282,495.6903824675356,C02,Strain A,Process A
29,AF06940,75,629.028681337976,188.67842833439258,0.0,81.09375839121357,808.3926202705723,0.0,819.0404910795701,489.3362140977274,479.8536905673016,666.9568846939195,524.9784719891446,C02,Strain A,Process A
30,AF06940,88,,276.0156925327482,,,804.7243241545543,,814.8057554616846,,486.6288455803828,774.8854020456129,491.9799266847387,C02,Strain A,Process A
31,AF06940,93,661.7604203008599,328.1933030029839,49.96733954226861,325.52300361896783,811.1235637092476,0.0,829.8701226248419,655.544751800611,486.2615148902165,802.4443997114355,458.31544242517344,C02,Strain A,Process A
32,AF06941,0,,,,,,,,,,,,V05,Strain A,Process A
33,AF06941,18,,,,,,,,,,,,V05,Strain A,Process A
34,AF06941,24,54.981602716267275,,0.0,282.15825268996105,146.29950481960415,0.0,50.16326258373422,18.930019921200113,0.0,7.178802886228164,107.280753630956,V05,Strain A,Process A
35,AF06941,40,,3.840581085372534,,,417.97991011695444,,452.21633079585587,,39.29206800156886,60.4574250020277,157.36332168151114,V05,Strain A,Process A
36,AF06941,45,273.6723080746928,49.828055699766,0.0,655.3175382407395,548.3504188890922,0.0,638.748128443481,146.86787238704167,112.18132380657188,124.54252729619208,227.31581821062403,V05,Strain A,Process A
37,AF06941,51,71.67828468360001,76.52020180933378,0.0,369.3681742913824,709.3804171873203,1000.0,765.6759416856648,70.93625802352055,237.83033100305693,237.01069378806616,234.82554782404506,V05,Strain A,Process A
38,AF06941,64,483.8733601950094,129.20326812022358,0.0,66.84068054983379,868.0687644077753,0.0,834.3696191006686,323.4022659099063,380.7566077952373,471.80378976823863,237.1057100621028,V05,Strain A,Process A
39,AF06941,69,,160.04876866775464,,,844.646004184885,,897.0003894052513,,480.21737821135247,635.2254970146561,362.8916188496775,V05,Strain A,Process A
40,AF06941,75,701.9043742574844,175.76986234662326,0.0,78.65674925211708,871.7725381432482,0.0,908.4448250199259,550.0545607394033,530.2086672180202,753.8998285797147,415.57528126078853,V05,Strain A,Process A
41,AF06941,88,,206.21242650246307,,,885.1478250168174,,893.1157217938132,,522.5851525305214,892.1349958597531,451.39461793181823,V05,Strain A,Process A
