,Strain,Media,Type of DOE,Plate,Incubation Time (h),Well position,Condition,pH,Glucose (g/L),Ammonium Sulfate (g/L),Phosphate + Citrate (x),YNB (x),Amino Acid 1 (mM),Amino acid 2 (g/L),Amino acid 2 (g/L).1,Ethanol (g/L),Replicate,Agit_rpm,Amino_acid_Mix (x) ,Calculated OD600 to Nanodrop,Residual glucose (g/l)
0,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,A1,1,5.0,5,5,1,0.5,0.5,1,0.3,5,,150,1,2.1786129,0.0
1,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,A2,1,5.0,5,5,1,0.5,0.5,1,0.3,5,,150,1,1.76260845,
2,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,A3,1,5.0,5,5,1,0.5,0.5,1,0.3,5,,150,1,1.71018708,
3,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,A4,1,5.0,5,5,1,0.5,0.5,1,0.3,5,,150,1,1.39133049,
4,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,A5,1,5.0,5,5,1,0.5,0.5,1,0.3,5,,150,1,1.03063299,
5,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,A6,1,5.0,5,5,1,0.5,0.5,1,0.3,5,,150,1,0.79690101,
6,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,A7,2,6.5,25,5,1,3.0,0.5,1,0.3,5,,300,1,2.38829838,12.91
7,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,A8,2,6.5,25,5,1,3.0,0.5,1,0.3,5,,300,1,2.23055334,
8,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,A9,2,6.5,25,5,1,3.0,0.5,1,0.3,5,,300,1,2.36809932,
9,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,A10,2,6.5,25,5,1,3.0,0.5,1,0.3,5,,300,1,2.03529576,
10,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,A11,2,6.5,25,5,1,3.0,0.5,1,0.3,5,,300,1,1.63756665,
11,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,A12,2,6.5,25,5,1,3.0,0.5,1,0.3,5,,300,1,1.56206064,
12,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,B1,3,6.5,5,5,1,0.5,0.5,1,0.3,5,,300,1,0.98013534,1.84
13,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,B2,3,6.5,5,5,1,0.5,0.5,1,0.3,5,,300,1,1.85590887,
14,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,B3,3,6.5,5,5,1,0.5,0.5,1,0.3,5,,300,1,2.09829759,
15,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,B4,3,6.5,5,5,1,0.5,0.5,1,0.3,5,,300,1,1.58466435,
16,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,B5,3,6.5,5,5,1,0.5,0.5,1,0.3,5,,300,1,1.43605698,
17,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,B6,3,6.5,5,5,1,0.5,0.5,1,0.3,5,,300,1,1.40287281,
18,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,B7,4,5.0,25,5,1,3.0,0.5,1,0.3,5,,150,1,2.37483234,12.42
19,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,B8,4,5.0,25,5,1,3.0,0.5,1,0.3,5,,150,1,2.00692089,
20,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,B9,4,5.0,25,5,1,3.0,0.5,1,0.3,5,,150,1,1.89774978,
21,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,B10,4,5.0,25,5,1,3.0,0.5,1,0.3,5,,150,1,1.97373672,
22,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,B11,4,5.0,25,5,1,3.0,0.5,1,0.3,5,,150,1,1.91794884,
23,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,B12,4,5.0,25,5,1,3.0,0.5,1,0.3,5,,150,1,1.67556012,
24,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,C1,5,6.5,5,5,1,0.5,0.5,1,0.3,40,,300,1,0.57759693,4.28
25,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,C2,5,6.5,5,5,1,0.5,0.5,1,0.3,40,,300,1,0.62280435,
26,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,C3,5,6.5,5,5,1,0.5,0.5,1,0.3,40,,300,1,0.62424714,
27,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,C4,5,6.5,5,5,1,0.5,0.5,1,0.3,40,,300,1,0.66127875,
28,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,C5,5,6.5,5,5,1,0.5,0.5,1,0.3,40,,300,1,0.63530853,
29,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_2,18,C6,5,6.5,5,5,1,0.5,0.5,1,0.3,40,,300,1,0.62809458,
30,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,C7,6,5.0,25,5,1,3.0,0.5,1,0.3,40,,150,1,1.01187672,20.68
31,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,C8,6,5.0,25,5,1,3.0,0.5,1,0.3,40,,150,1,0.87384981,
32,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,C9,6,5.0,25,5,1,3.0,0.5,1,0.3,40,,150,1,0.8079624,
33,Strain B,SC_drop_out,Round_0_Fractional_Factorial_Design,plate_1,18,C10,6,5.0,25,5,1,3.0,0.5,1,0.3,40,,150,1,0.68724897,
