"","strain","type_of_doe","plate","incubation_time_h","condition","p_h","glucose_g_l","ynb_x","amino_acid_1_m_m","ethanol_g_l","agit_rpm","mean_calc_OD60","residual_glucose"
"1","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,1,5,5,0.5,0.5,5,150,1.76084504,1.18
"2","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,2,6.5,25,3,0.5,5,300,3.44137477,12.58
"3","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,3,6.5,5,0.5,0.5,5,300,0.799065195,3.44
"4","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,4,5,25,3,0.5,5,150,3.88543347,9.41
"5","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,5,6.5,5,0.5,0.5,40,300,0.509385025,4.07
"6","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,6,5,25,3,0.5,40,150,1.36455872,21.11
"7","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,7,5,5,0.5,0.5,40,150,1.420106135,2.82
"8","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,8,6.5,25,3,0.5,40,300,0.701917335,22.79
"9","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,9,5,5,3,2,5,150,2.29660106,0
"10","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,10,6.5,25,0.5,2,5,300,0.828081305,24.3
"11","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,11,6.5,5,3,2,5,300,2.22045381,0.13
"12","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,12,5,25,0.5,2,5,150,1.56975552,19.87
"13","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,13,6.5,5,0.5,2,40,150,0.51699975,4.19
"14","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,14,5,25,3,2,40,300,1.505551365,20.73
"15","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,15,5,5,0.5,2,40,150,1.24785304,2.71
"16","Strain A","Round_0_Fractional_Factorial_Design","plate_7",16,16,6.5,25,3,2,40,300,0.817180225,21.09
"17","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,1,5,5,0.5,0.5,5,150,2.062307995,-99
"18","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,2,6.5,25,3,0.5,5,300,14.98978655,-99
"19","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,3,6.5,5,0.5,0.5,5,300,1.19495074,-99
"20","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,4,5,25,3,0.5,5,150,11.28502245,-99
"21","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,5,6.5,5,0.5,0.5,40,300,0.561004845,-99
"22","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,6,5,25,3,0.5,40,150,4.097283135,-99
"23","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,7,5,5,0.5,0.5,40,150,2.226625745,-99
"24","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,8,6.5,25,3,0.5,40,300,3.51383489,-99
"25","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,9,5,5,3,2,5,150,0.508466666666667,-99
"26","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,10,6.5,25,0.5,2,5,300,0.190583333333333,-99
"27","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,11,6.5,5,3,2,5,300,0.657316666666667,-99
"28","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,12,5,25,0.5,2,5,150,0.400283333333333,-99
"29","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,13,6.5,5,0.5,2,40,150,0.1645,-99
"30","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,14,5,25,3,2,40,300,12.44246065,-99
"31","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,15,5,5,0.5,2,40,150,0.410333333333333,-99
"32","Strain A","Round_0_Fractional_Factorial_Design","plate_8",24,16,6.5,25,3,2,40,300,12.44246065,-99
"33","Strain A","Round_1_Definitive_screening_design","plate_10",8,4,6.5,5,3,1.4,0,225,0.38522493,-99
"34","Strain A","Round_1_Definitive_screening_design","plate_10",8,5,5,25,0.5,1.4,0,225,0.44950924,-99
"35","Strain A","Round_1_Definitive_screening_design","plate_10",8,6,5.8,25,3,0.8,0,225,0.407427865,-99
"36","Strain A","Round_1_Definitive_screening_design","plate_10",8,7,5.8,5,0.5,2,0,225,0.43524165,-99
"37","Strain A","Round_1_Definitive_screening_design","plate_10",8,8,5.8,15,1.75,1.4,0,225,0.46361652,-99
"38","Strain A","Round_1_Definitive_screening_design","plate_10",8,9,5.8,15,1.75,1.4,0,225,0.472353415,-99
"39","Strain A","Round_1_Definitive_screening_design","plate_11",8,10,5,15,1.75,0.8,0,300,0.449268775,-99
"40","Strain A","Round_1_Definitive_screening_design","plate_11",8,11,6.5,15,1.75,0.8,0,300,0.378091135,-99
"41","Strain A","Round_1_Definitive_screening_design","plate_11",8,12,5.8,5,3,1.4,0,300,0.466582255,-99
"42","Strain A","Round_1_Definitive_screening_design","plate_11",8,13,6.5,5,3,0.8,0,300,0.450711565,-99
"43","Strain A","Round_1_Definitive_screening_design","plate_12",16,1,6.5,15,1.75,2,0,150,2.49073647,7.14
"44","Strain A","Round_1_Definitive_screening_design","plate_12",16,2,5,15,1.75,2,0,150,3.4979642,2.2
"45","Strain A","Round_1_Definitive_screening_design","plate_12",16,3,5.8,25,0.5,1.4,0,150,2.754205955,12.78
"46","Strain A","Round_1_Definitive_screening_design","plate_13",16,4,6.5,5,3,1.4,0,225,1.98383625,0.68
"47","Strain A","Round_1_Definitive_screening_design","plate_13",16,5,5,25,0.5,1.4,0,225,2.899767435,15.31
"48","Strain A","Round_1_Definitive_screening_design","plate_13",16,6,5.8,25,3,0.8,0,225,4.701170905,2.7
"49","Strain A","Round_1_Definitive_screening_design","plate_13",16,7,5.8,5,0.5,2,0,225,0.71241764,0.66
"50","Strain A","Round_1_Definitive_screening_design","plate_13",16,8,5.8,15,1.75,1.4,0,225,3.953485065,2.83
"51","Strain A","Round_1_Definitive_screening_design","plate_13",16,9,5.8,15,1.75,1.4,0,225,3.87837983,2.05
"52","Strain A","Round_1_Definitive_screening_design","plate_14",16,10,5,15,1.75,0.8,0,300,4.629191715,0
